SHOP,2013,2014,2015,2016,2017
GrossProfit,,7.0,25.0,64.0,94.0
GrProfitMargin,,0.46,0.86,0.96,0.95
OppProfitLoss,,-73.0,-5.0,7.0,12.0
currentRatio,,,1.57,2.71,8.37
AssetTurnRatio,,,-2.8,8.86,15.33
DebtToEquityRatio,,,1.14,0.32,0.12
RetainedEarnings,,,-168.0,-161.0,-149.0
RtndSharehldrEquity,,,-0.71,0.15,0.07
