SHOP,2013,2014,2015,2016,2017
Total cash,,,3.0,26.0,141.0
Total current assets,,,11.0,38.0,159.0
Total non-current assets,,,4.0,23.0,25.0
Total assets,,,14.0,62.0,184.0
Receivables,,,7.0,11.0,16.0
Tot. Current Liab.,,,7.0,14.0,19.0
Tot. Non-Current Liab.,,,0.0,1.0,0.0
Total liabilities,,,8.0,15.0,20.0
Accounts payable,,,2.0,5.0,2.0
Treasury stock,,,,,
Retained earnings,,,-168.0,-161.0,-149.0
Total stockholders' equity,,,7.0,47.0,164.0
