CRM,2013,2014,2015,2016,2017
GrossProfit,2366.0,3103.0,4085.0,5012.0,6158.0
GrProfitMargin,0.78,0.76,0.76,0.75,0.73
OppProfitLoss,-111.0,-286.0,-145.0,114.0,64.0
currentRatio,0.69,0.67,0.81,0.77,0.83
AssetTurnRatio,-20.48,-39.45,-40.66,-271.72,97.69
DebtToEquityRatio,1.39,2.01,1.69,1.55,1.34
RetainedEarnings,-111.0,-343.0,-606.0,-653.0,-465.0
RtndSharehldrEquity,-0.12,-0.08,-0.07,-0.01,0.02
