,NVDA,INTC,AMAT,AMD
0,4063.0,36191.0,4511.0,998.0
1,0.59,0.61,0.42,0.23
2,1934.0,12874.0,2152.0,-372.0
3,4.77,1.75,2.3,1.88
4,5.91,10.99,8.48,-6.68
5,0.71,0.71,1.02,6.98
6,6108.0,40747.0,15252.0,-7803.0
7,0.29,0.16,0.24,-1.19
