,AMZN,BABA,MELI,GOOGL
0,47722.0,98790.0,536.0,55689.0
1,0.35,0.62,0.64,0.62
2,4186.0,48055.0,180.0,22326.0
3,1.04,1.95,1.51,2.48
4,35.18,11.6,10.05,11.37
5,3.32,0.82,2.19,2.33
6,4916.0,108558.0,551.0,2648.0
7,0.12,0.16,0.32,0.29
