Debt ceiling fears fade from Treasury bills after Congress leaders strikes budget pact  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/DPNlpHILDQ4/story.aspx
Oil prices log lowest settlement in 4 weeks  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/5gay0sWs_ik/story.aspx
Softbank in talks to acquire stake in Swiss Re worth up to $10 billion: WSJ  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/yYiLuY2LLCI/story.aspx
Gold prices sink to a 1-month low  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/JtkUJ-KoPsw/story.aspx
Senate leaders say they've reached two-year budget deal  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/lDrSJmgFGwk/story.aspx
'Black Panther' advance ticket sales outpacing all other first-quarter film sales for Fandango  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/XAygDYhiY8A/story.aspx
"Dick's Sporting Goods to benefit from Eagles Super Bowl championship, new Little League bat regulations  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/yhu-RKL16DI/story.aspx"
Justice Department indicts 36 people for role in $530 million worth of cybercrime  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/UGbpVP_Wtmc/story.aspx
Amazon's market cap on track to pass Microsoft for first time  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/wYvV7TzqcqY/story.aspx
"Dow peeks above 50-day MA, nears 2nd Fibonacci retracement target  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/qJXriBIv8_E/story.aspx"
Fed's Dudley says stock-market decline has not changed his economic outlook  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/U9PkoBRVxtY/story.aspx
EIA reports a second-straight weekly rise in U.S. crude supplies  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/ag_E1sVWzLI/story.aspx
Dunkin' Donuts replacing foam cups by 2020  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/wzsCabM5Oh4/story.aspx
Trump calls negative stock reaction to 'great' economic news a 'big mistake'  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/eqDa-DPnFic/story.aspx
Dow pares loss to turn up by 100 points as choppy trade resumes on Wall Street  http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/7UzqwMAwzGs/story.aspx
"CryptoWatch: Winklevoss: If you can’t see bitcoin at $320,000, you just lack imagination  http://www.marketwatch.com/news/story.asp?guid=%7BFDED75B0-0C39-11E8-859F-B7B1CD107236%7D&siteid=rss&rss=1"
Capitol Report: Pelosi stages marathon 8-hour protest on House floor for Dreamers  http://www.marketwatch.com/news/story.asp?guid=%7BE2DFA0AE-0C48-11E8-859F-B7B1CD107236%7D&siteid=rss&rss=1
The Wall Street Journal: BlackRock seeks to raise $10 billion to make direct investments in companies  http://www.marketwatch.com/news/story.asp?guid=%7BA6E0F82A-0C6E-11E8-BF86-1CEF767DAFF7%7D&siteid=rss&rss=1
"MarketWatch First Take: Elon Musk predicts profit at Tesla in 2018, and much more  http://www.marketwatch.com/news/story.asp?guid=%7BCC35E9DA-0C66-11E8-BF86-1CEF767DAFF7%7D&siteid=rss&rss=1"
MarketWatch First Take: iRobot’s bullish view wanes on outlook with revenue growth slowing  http://www.marketwatch.com/news/story.asp?guid=%7BF9E03C72-0C62-11E8-BF86-1CEF767DAFF7%7D&siteid=rss&rss=1
Market Extra: BOE’s ‘Super Thursday’: 3 things that would signal a rate rise is coming this spring  http://www.marketwatch.com/news/story.asp?guid=%7BC9EA6808-0BF9-11E8-859F-B7B1CD107236%7D&siteid=rss&rss=1
"The Moneyist: I borrowed $100,000 from my father before he died — my family says I should repay it  http://www.marketwatch.com/news/story.asp?guid=%7BDA098B6C-0C33-11E8-859F-B7B1CD107236%7D&siteid=rss&rss=1"
"CryptoWatch: Bitcoin continues its steady recovery, rising above $8,000  http://www.marketwatch.com/news/story.asp?guid=%7B8166BF06-0C93-11E8-954C-6C0F3A2D2CD3%7D&siteid=rss&rss=1"
Asia Markets: Asian markets rise modestly amid lingering investor fears  http://www.marketwatch.com/news/story.asp?guid=%7B3A68EE20-0C6C-11E8-BF86-1CEF767DAFF7%7D&siteid=rss&rss=1
The New York Post: White House ignored multiple abuse allegations against top aide: report  http://www.marketwatch.com/news/story.asp?guid=%7BC1F9D22A-0C7E-11E8-BF86-1CEF767DAFF7%7D&siteid=rss&rss=1
Tesla's global sales chief leaving for Lyft  http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/-6rGd5KTZTo/bulletinredir.asp
"Bitcoin rebounding? Check crypto prices, stats and market cap in our dashboard  http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/S8VZ7jNHrLc/bulletinredir.asp"
"Bitcoin rebounding? Check crypto prices, stats and market cap in our dashboard  http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/H1VLM4hSCjo/bulletinredir.asp"
"Bitcoin rebounding? Check crypto prices, stats and market cap in our dashboard  http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/BmbMKSN3yYU/bulletinredir.asp"
Tesla stock rises after quarterly loss is smaller than expected  http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/P4jWgoPY3CM/bulletinredir.asp
Dow ends lower in whipsaw session as bond yields resume rise  http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/NjPu92Zn6nE/bulletinredir.asp
"Treasury yields jump on news of Senate budget, spending deal  http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/u1ZLcFtCId4/bulletinredir.asp"
The Dow remains positive Wednesday but other stock indexes are slipping  http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/CzMqMUGS1aY/bulletinredir.asp
Senate crafts 2-year budget deal that will prevent government shutdown  http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/xMaWEmtxKxc/bulletinredir.asp
A chart reader who called the big stock selloff says it's not over  http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/FpPt1BM9814/bulletinredir.asp
