AMAT,2013,2014,2015,2016,2017
GrossProfit,3313.0,2991.0,3843.0,3952.0,4511.0
GrProfitMargin,0.38,0.4,0.42,0.41,0.42
OppProfitLoss,411.0,432.0,1520.0,1693.0,2152.0
currentRatio,2.25,2.31,2.47,2.44,2.3
AssetTurnRatio,111.03,47.04,12.29,11.12,8.48
DebtToEquityRatio,0.67,0.7,0.67,1.01,1.02
RetainedEarnings,12700.0,12487.0,13072.0,13967.0,15252.0
RtndSharehldrEquity,0.02,0.04,0.14,0.18,0.24
