Date,Open,High,Low,Close,Adj Close,Volume
2017-02-21,108.230003,111.230003,108.220001,111.07,110.638954,13798800
2017-02-22,111.41999799999999,111.800003,109.989998,110.760002,110.46939099999999,10844300
2017-02-23,105.5,106.389999,99.68,100.489998,100.226341,39822200
2017-02-24,97.07,102.0,95.699997,101.459999,101.193794,25747600
2017-02-27,102.199997,105.019997,101.559998,104.410004,104.13606300000001,17885000
2017-02-28,104.800003,105.199997,100.779999,101.480003,101.21374499999999,15634000
2017-03-01,103.790001,104.370003,101.110001,102.790001,102.520302,12620100
2017-03-02,102.269997,102.839996,98.889999,99.0,98.74025,18858300
2017-03-03,98.57,98.769997,96.220001,98.43,98.171745,21617300
2017-03-06,96.959999,98.099998,95.16999799999999,97.66999799999999,97.41373399999999,22089200
2017-03-07,97.66999799999999,99.529999,97.150002,98.739998,98.48093399999999,15085000
2017-03-08,100.699997,101.300003,98.470001,98.559998,98.301399,15967800
2017-03-09,97.910004,99.449997,97.400002,98.540001,98.281456,11951500
2017-03-10,99.610001,100.089996,98.379997,99.120003,98.85994000000001,12493500
2017-03-13,99.540001,102.25,99.510002,101.849998,101.582771,19353400
2017-03-14,102.370003,102.75,100.470001,101.779999,101.512955,13050400
2017-03-15,102.25,102.989998,100.32,102.550003,102.28094499999999,15375900
2017-03-16,102.980003,103.83000200000001,102.410004,103.809998,103.53763599999999,13077500
2017-03-17,104.519997,106.120003,103.809998,106.07,105.79169499999999,27992200
2017-03-20,106.779999,109.610001,106.129997,109.449997,109.16282700000001,18714200
2017-03-21,108.75,109.959999,105.589996,105.910004,105.632126,22837100
2017-03-22,105.459999,108.260002,105.300003,108.07,107.78645300000001,15419100
2017-03-23,107.75,108.559998,106.699997,107.089996,106.809021,13348500
2017-03-24,108.970001,109.290001,106.41999799999999,107.470001,107.18802600000001,10987500
2017-03-27,105.58000200000001,108.410004,103.58000200000001,108.25,107.96597299999999,12666100
2017-03-28,108.300003,108.889999,107.269997,107.690002,107.407455,10811100
2017-03-29,107.989998,108.489998,107.25,107.339996,107.058365,8749800
2017-03-30,107.629997,110.0,107.400002,109.400002,109.112968,13138300
2017-03-31,109.010002,109.889999,108.400002,108.93,108.644203,11020200
2017-04-03,108.949997,109.650002,107.41999799999999,108.379997,108.095634,11130800
2017-04-04,103.400002,104.41999799999999,100.339996,100.779999,100.515587,31782000
2017-04-05,100.019997,102.370003,99.5,100.029999,99.767548,18676200
2017-04-06,100.239998,101.25,98.410004,100.760002,100.495636,15878000
2017-04-07,101.019997,101.730003,99.720001,100.33000200000001,100.066765,10726700
2017-04-10,100.360001,100.629997,97.599998,97.769997,97.513474,18908300
2017-04-11,96.550003,98.900002,96.349998,98.120003,97.86255600000001,15453700
2017-04-12,98.120003,98.699997,97.099998,97.309998,97.05468,10352300
2017-04-13,96.33000200000001,97.209999,95.489998,95.489998,95.239456,12672300
2017-04-17,96.010002,99.239998,95.800003,99.230003,98.96965,12432300
2017-04-18,98.650002,99.540001,97.599998,99.290001,99.029488,9252900
2017-04-19,100.0,100.980003,99.410004,99.68,99.418465,9520700
2017-04-20,100.269997,101.449997,99.410004,101.260002,100.994316,10100400
2017-04-21,100.839996,101.790001,100.360001,101.68,101.413216,8547400
2017-04-24,102.959999,103.480003,102.110001,102.949997,102.679886,9295500
2017-04-25,103.540001,105.33000200000001,102.66999799999999,104.739998,104.465195,9711000
