MSFT,2013,2014,2015,2016,2017
GrossProfit,57600.0,59899.0,60542.0,52540.0,55689.0
GrProfitMargin,0.74,0.69,0.65,0.62,0.62
OppProfitLoss,26764.0,27759.0,18161.0,20182.0,22326.0
currentRatio,2.71,2.5,2.5,2.35,2.48
AssetTurnRatio,6.51,7.81,14.45,11.53,11.37
DebtToEquityRatio,0.8,0.92,1.2,1.69,2.33
RetainedEarnings,9895.0,17710.0,9096.0,2282.0,2648.0
RtndSharehldrEquity,0.28,0.25,0.15,0.23,0.29
