MU,2013,2014,2015,2016,2017
GrossProfit,1847.0,5437.0,5215.0,2505.0,8436.0
GrProfitMargin,0.2,0.33,0.32,0.2,0.42
OppProfitLoss,236.0,3087.0,2998.0,168.0,5868.0
currentRatio,2.16,2.13,2.2,1.96,2.34
AssetTurnRatio,16.07,7.39,8.33,-99.78,6.94
DebtToEquityRatio,1.09,1.09,0.96,1.28,0.9
RetainedEarnings,-212.0,2729.0,5588.0,5299.0,10260.0
RtndSharehldrEquity,0.13,0.28,0.24,-0.02,0.27
