MU,2013,2014,2015,2016,2017
GR. PROFIT MARGIN,20.36,33.24,32.21,20.2,41.51
OPP. PROFIT MARGIN,13.16,18.82,17.9,-2.22,25.05
PCT. RETURN ON ASSETS,9.66,24.17,21.6,9.1,23.87
ASSET TURN,47.46,72.71,67.07,45.02,57.51
R&D,10.26,8.38,9.51,13.04,8.98
DEBT TO EQUITY,1.09,1.09,0.96,1.28,0.9
ASSET GEARING,2.09,2.09,1.96,2.28,1.9
ROE,0.2,0.5,0.42,0.21,0.45
