BABA,2013,2014,2015,2016,2017
GrossProfit,24798.0,39135.0,52370.0,66788.0,98790.0
GrProfitMargin,0.72,0.75,0.69,0.66,0.62
OppProfitLoss,10751.0,24920.0,23135.0,29102.0,48055.0
currentRatio,1.8,1.81,3.58,2.58,1.95
AssetTurnRatio,7.48,4.78,10.53,5.1,11.6
DebtToEquityRatio,-2658.75,2.8,0.76,0.68,0.82
RetainedEarnings,-20491.0,1183.0,24842.0,78752.0,108558.0
RtndSharehldrEquity,-355.5,0.79,0.17,0.33,0.16
