AAPL,2013,2014,2015,2016,2017
GR. PROFIT MARGIN,43.87,37.62,38.59,40.06,39.08
OPP. PROFIT MARGIN,26.67,21.67,21.61,22.85,21.19
PCT. RETURN ON ASSETS,39.0,31.06,30.42,32.23,26.19
ASSET TURN,88.89,82.57,78.85,80.46,67.03
R&D,2.16,2.62,3.3,3.45,4.66
DEBT TO EQUITY,0.49,0.68,1.08,1.43,1.51
ASSET GEARING,1.49,1.68,2.08,2.43,2.51
ROE,0.58,0.52,0.63,0.78,0.66
