INTC,2013,2014,2015,2016,2017
GrossProfit,33151.0,31521.0,35609.0,34679.0,36191.0
GrProfitMargin,0.62,0.6,0.64,0.63,0.61
OppProfitLoss,14638.0,12291.0,15347.0,14002.0,12874.0
currentRatio,2.43,2.36,1.73,2.58,1.75
AssetTurnRatio,7.66,9.6,7.86,9.02,10.99
DebtToEquityRatio,0.65,0.59,0.65,0.69,0.71
RetainedEarnings,32138.0,35477.0,33418.0,37614.0,40747.0
RtndSharehldrEquity,0.21,0.17,0.21,0.19,0.16
