INTC,2013,2014,2015,2016,2017
GR. PROFIT MARGIN,62.15,59.8,63.74,62.65,60.94
OPP. PROFIT MARGIN,20.63,18.25,20.95,20.63,17.37
PCT. RETURN ON ASSETS,39.3,34.13,38.72,33.65,31.94
ASSET TURN,63.24,57.07,60.76,53.71,52.4
R&D,19.02,20.13,20.65,21.91,21.45
DEBT TO EQUITY,0.65,0.59,0.65,0.69,0.71
ASSET GEARING,1.65,1.59,1.65,1.69,1.71
ROE,0.65,0.54,0.64,0.57,0.55
