GOOGL,2013,2014,2015,2016,2017
GrossProfit,29541.0,33967.0,40310.0,46825.0,55134.0
GrProfitMargin,0.59,0.57,0.61,0.62,0.61
OppProfitLoss,12760.0,13966.0,16496.0,19360.0,23716.0
currentRatio,4.22,4.58,4.8,4.67,6.29
AssetTurnRatio,8.74,8.59,9.08,9.02,8.6
DebtToEquityRatio,0.31,0.27,0.25,0.23,0.2
RetainedEarnings,48342.0,61262.0,75706.0,89223.0,105131.0
RtndSharehldrEquity,0.15,0.15,0.14,0.14,0.14
