NVDA,2013,2014,2015,2016,2017
GrossProfit,2226.0,2268.0,2600.0,2811.0,4063.0
GrProfitMargin,0.52,0.55,0.56,0.56,0.59
OppProfitLoss,648.0,496.0,760.0,747.0,1934.0
currentRatio,4.89,5.95,6.38,2.57,4.77
AssetTurnRatio,11.39,16.48,11.41,12.0,5.91
DebtToEquityRatio,0.33,0.63,0.63,0.65,0.71
RetainedEarnings,3246.0,3505.0,3949.0,4350.0,6108.0
RtndSharehldrEquity,0.12,0.1,0.14,0.14,0.29
