NVDA,2013,2014,2015,2016,2017
GrossProfit,1235.0,1978.0,1839.0,1080.0,998.0
GrProfitMargin,0.23,0.37,0.33,0.27,0.23
OppProfitLoss,-1056.0,103.0,-155.0,-481.0,-372.0
currentRatio,1.62,1.78,1.9,1.65,1.88
AssetTurnRatio,-3.38,-52.25,-9.35,-4.71,-6.68
DebtToEquityRatio,6.43,6.97,19.14,-8.55,6.98
RetainedEarnings,-6160.0,-6243.0,-6646.0,-7306.0,-7803.0
RtndSharehldrEquity,-2.2,-0.15,-2.16,1.6,-1.19
