NVDA,2013,2014,2015,2016,2017
GR. PROFIT MARGIN,52.01,54.92,55.51,56.11,58.8
OPP. PROFIT MARGIN,13.15,10.65,13.48,12.26,24.11
PCT. RETURN ON ASSETS,34.72,31.28,36.09,38.14,41.29
ASSET TURN,66.75,56.96,65.02,67.98,70.22
R&D,26.8,32.35,29.05,26.57,21.17
DEBT TO EQUITY,0.33,0.63,0.63,0.65,0.71
ASSET GEARING,1.33,1.63,1.63,1.65,1.71
ROE,0.46,0.51,0.59,0.63,0.71
