MELI,2013,2014,2015,2016,2017
GrossProfit,276.0,343.0,398.0,437.0,536.0
GrProfitMargin,0.74,0.73,0.71,0.67,0.64
OppProfitLoss,130.0,154.0,121.0,139.0,180.0
currentRatio,1.62,1.46,1.82,1.71,1.51
AssetTurnRatio,4.74,5.02,13.25,9.47,10.05
DebtToEquityRatio,0.65,0.73,1.72,1.96,2.19
RetainedEarnings,218.0,310.0,353.0,441.0,551.0
RtndSharehldrEquity,0.35,0.34,0.21,0.31,0.32
